Last,Address,Address2,Address3,City,State,Zip,Country,Phone,Fax,Email,Account No.,Store,Work,Work Phone,Promo,Contact,Salesperson,Sales Last Year,Sales This Year,First Buy,Last Buy,Bill To Account No.,Tax Status,Tax ID,Alt Tax Rate,Belongs To
Hackensack UMC-Research Associates,"Attn: Chinwe Ogedegbe, MD",Emergency Trauma Dept,30 Prospect Ave 3 Main Rm 3624,Hackensack,NJ,7601,,(551)996-4614,,,45032,2,EXT 3282,,,,,615.74,0,9/19/2013,3/3/2020,30847-2,,,,SLU Emergency Medicine
Saint Louis University Hospital,"Attn: Preeti Dalawari, MD, MPSH",3635 Vista At Grand Ave,"Desloge Towers, First Floor",Saint Louis,MO,63110,,,,,45028,2,,,,,Christie,0,0,9/13/2013,1/30/2019,30847-2,,,,SLU Emergency Medicine
Stanley Steemer Int'l Inc.,,5800 Innovation Drive,P.O. Box 8004,Dublin,OH,43016,,(614)652-2300,(614)652-2300,avu@steemer.com,14391,3,,,,,Ken Yanicky,304414.79,168754.99,7/31/2019,7/27/2021,,Exempt,,,Stanley Steemer
STANLEY STEEMER,240 W. NORTH ST.,,,FOSTORIA,OH,44830,,,,,72671,2,,,,,,0,73.6,7/27/2021,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - AKRON BRANCH,560543,76 HANNA PKWY,,AKRON,OH,44319,,,,,71758,2,,,,,,0,224,4/19/2021,5/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - ALACHUA,560543,12450 NW US HWY 441,,ALACHUA,FL,32615,,,,,67457,2,,,,,,293.8,0,12/27/2019,7/15/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - ALEXANDRIA BRANCH,560543 99042,5705 GENERAL WASHINGTON DR,SUITE A,ALEXANDRIA,VA,22312,,,,,66098,2,,,,,Ken Yanicky,2064,2469.8,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - ALLENTOWN,560543,509 S CARLISLE ST,,ALLENTOWN,PA,18109,,,,,66181,2,,,,,Ken Yanicky,416,184,10/2/2019,6/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - ANAHEIM BRANCH,560543 99012,4530 E EISENHOWER CIR,,ANAHEIM,CA,92807,,,,,66308,2,,,,,,2238.5,1723.5,10/21/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - APOPKA BRANCH,1757 BENBOW CT,,,APOPKA,FL,32703,,,,,69005,2,,,,,,0,0,8/28/2020,9/3/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - ATLANTA,560543 1054900,3730 HONEYSUCKLE LN,,ATLANTA,GA,30340,,,,,66080,2,,,,,Ken Yanicky,1637.8,1344.35,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - AUSTIN BRANCH,560543 99032,8023 EXCHANGE DR,,AUSTIN,TX,78754,,,,,66126,2,,,,,Ken Yanicky,1637.75,1343.75,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - AYDEN BRANCH,560543 1060500,3823 LEE ST,,AYDEN,NC,28513,,,,,66165,2,,,,,Ken Yanicky,192,64,10/2/2019,1/13/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - AZUSA,560543,841 W FOOTHILL BLVD,,AZUSA,CA,91702,,,,,67259,2,,,,,,1486.5,1620.4,12/5/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BAKERSFIELD,506543,1012 BLACK GOLD RD,,BAKERSFIELD,CA,93308,,,,,68490,2,,,,,,80,34.9,7/20/2020,3/29/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BALTIMORE BRANCH,560543,7024 GOLDEN RING RD,,BALTIMORE,MD,21237,,,,,66158,2,,,,,Ken Yanicky,3758.45,2518.9,10/2/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BELLEFONTE,560543,1960 E COLLEGE AVE,,BELLEFONTE,PA,16823,,,,,67775,2,,,,,,80,588.8,2/12/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BIRMINGHAM,560543,118 LITTLE VALLEY COURT,,HOOVER,AL,35244,,,,,66115,2,,,,,Ken Yanicky,1515.6,1112.1,9/26/2019,7/8/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BLOOMINGTON BRANCH,560543 1004240,3915 W FARMER AVE,,BLOOMINGTON,IN,47403,,,,,66147,2,,,,,Ken Yanicky,229.8,0,9/26/2019,7/15/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BOARDMAN,560543 1083100,674 BEV RD,,BOARDMAN,OH,44512,,,,,66148,2,,,,,Ken Yanicky,1175.25,1215.05,10/2/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BOSTON BRANCH,560543 99067,620 SOUTH ST,,HOLBROOK,MA,2343,,,,,66194,2,,,,,Ken Yanicky,2450.98,587.25,10/17/2019,6/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BOWIE BRANCH,560543,5710 WOODCLIFF RD,STE 107,BOWIE,MD,20720,,,,,67581,2,,,,,,1447.25,523.2,1/13/2020,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BROOKLYN BRANCH,560543 99058,439 20TH ST,,BROOKLYN,NY,11215,,,,,67143,2,,,,,,976,851,11/29/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - BYRON CENTER BRANCH,560543 1057202,8225 PFEIFFER FARMS DR SW,STE 500,BYRON CENTER,MI,49315,,,,,66134,2,,,,,Ken Yanicky,6299.55,4374.12,9/26/2019,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CANAL,56043,6520 OLEY SPEAKS WAY,SUITE C & D,CANAL WINCHESTER,OH,43110,,,,,71472,2,,,,,,0,226.9,3/29/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CAPE GIRARDEAU,3240 NASH RD,,,SCOTT CITY,NO,63780,,,,,69143,2,,,,,,160,0,9/10/2020,9/10/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CARTERVILLE,560543,1800 CLARK STREET,,CARTERVILLE,IL,62918,,,,,69003,2,,,,,,416,359.75,9/4/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CENTRAL CITY  BRANCH,560543,401 ROCK CUT ROAD,,CENTRAL CITY,PA,15926,,,,,71399,2,,,,,,0,224,3/12/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHAMPAIGN BRANCH,560543,4108 Colleen Dr.,,Chanpaign,IL,61822,,,,,67719,2,,,,,,261.8,0,1/31/2020,8/17/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHARLESTON BRANCH,560543,7890 DORCHESTER ROAD,,CHARLESTON,SC,29418,,,,,66951,2,,,,,Ken Yanicky,1861.75,1051.45,11/16/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHARLOTTE,560543,1519 CROSS BEAM DR,,CHARLOTTE,NC,28217,,,,,66114,2,,,,,Ken Yanicky,3608.7,1447.2,9/26/2019,7/8/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHATTANOOGA,560543 1033750,7611 LEE HIGHWAY,,CHATTANOOGA,TN,37421,,,,,66721,2,,,,,,935.25,286.9,10/31/2019,6/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHEEKTOWAGA,560543,2319 GENESEE ST,,CHEEKTOWAGA,NY,14225,,,,,68315,2,,,,,,1313.4,847.75,6/22/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHICAGO CITY,560543 99086,920 W PERSHING,,CHICAGO,IL,60609,,,,,66082,2,,,,,Ken Yanicky,3614.5,3509.25,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHICAGO MAIN,560543,401 S VERMONT ST,,PALATINE,IL,60067,,,,,66306,2,,,,,,1694.5,3704,10/21/2019,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHICAGO NORTH,560543,200 S SHADDLE AVE,UNIT 101,MUNDELEIN,IL,60060,,,,,67812,2,,,,,,727.25,1485.85,3/17/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CHICAGO SE,560543 99068,4 TERRITORIAL CT,SUITE B,BOLINGBROOK,IL,60440,,,,,66118,2,,,,,Ken Yanicky,1790.5,515.5,9/26/2019,6/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CINCINNATI BRANCH,560543-99007,637 REDNA TERRACE,,CINCINNATI,OH,45215,,,,,66009,2,,,,,Ken Yanicky,3339.55,3434.65,9/19/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CLEVELAND BRANCH,560543,4621 HINCKLEY INDUSTRIAL PKWAY,UNIT 12,CLEVELAND,OH,44109,,,,,68369,2,,,,,,1200,3990,7/9/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CLIFTON BRANCH,560543,10 CLIFTON BLVD,STE B-3,CLIFTON,NJ,7011,,,,,67896,2,,,,,,167.25,846.1,2/22/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - COLCHESTER,560543,158 BRENTWOOD DR,STE 5,COLCHESTER,VT,5446,,,,,66976,2,,,,,,64,0,11/15/2019,5/18/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - COLOMBIA BRANCH,560543 1057811,710 BUCKNER RD,STE B.,COLOMBIA,SC,29203,,,,,66244,2,,,,,Ken Yanicky,1762.85,801.6,10/17/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - COLUMBUS BRANCH,560543 99805,5700 SHIER RINGS RD,,DUBLIN,OH,43016,,,,,66109,2,,,,,Ken Yanicky,4590.4,1412.85,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CONCORD BRANCH,560543,150 MASON CIRCLE,SUITES A-D,CONCORD,CA,94520,,,,,70043,2,,,,,,567.25,480,11/13/2020,3/12/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CORDOVA,1250 BIG ORANGE RD,,,CORDOVA,TN,38018,,,,,69050,2,,,,,,144,272.5,9/4/2020,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CORONA,560543,126-12 34TH AVENUE,,CORONA,NY,11368,,,,,66163,2,,,,,Ken Yanicky,592,312.8,10/2/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - CORPUS CHRISTI,560543,1959 SARATOGA BLVD,BUILDING 8,CORPUS CHRISTI,TX,78417,,,,,67749,2,,,,,,1280,264,2/12/2020,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DALLAS BRANCH,560543 99019,13859 DIPLOMAT DR,STE 100,FARMERS BRANCH,TX,75234,,,,,66150,2,,,,,Ken Yanicky,3354.1,2427.6,10/2/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DAYTON BRANCH,560543 99009,824 SPACE DR,,BEAVERCREEK,OH,45434,,,,,67239,2,,,,,,2756.25,1388,12/5/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DEER PARK,560543,171 BROOK AVE,,DEER PARK,NY,11729,,,,,66238,2,,,,,,1889.4,1612.05,10/16/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DELRAY BEACH,560543,2085 S CONGRESS AVE,,DELRAY BEACH,FL,33445,,,,,67813,2,,,,,,3591.25,1554.65,2/22/2020,6/22/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DENVER BRANCH,560543,15700 PARKERHOUSE RD,UNIT 100,PARKER,CO,80134,,,,,66924,2,,,,,Ken Yanicky,656,710.85,11/16/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DETROIT,560543,46370 Erb Drive,BLDG #2,MACOMB,MI,48042,,,,,68274,2,,,,,,1550.5,978,6/15/2020,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DOTHAN,560543,1908 ROSS CLARK CIR,,DOTHAN,AL,36301,,,,,66372,2,,,,,,576,189,10/16/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - DUBLIN BRANCH,560543 040966,5700 SHIER RINGS RD,,DUBLIN,OH,43016,,,,,68114,2,,,,,Krista,89565,5619.15,5/18/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - EAGLE RIVER,,16946 N EAGLE RIVER LOOP RD,,EAGLE RIVER,AK,99577,,,,,68389,2,,,,,,16,0,7/9/2020,7/9/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - EAST DETROIT BRANCH,560543,14132 E 10 MILE RD,,WARREN,MI,48089,,,,,67016,2,,,,,,1360,0,11/15/2019,10/9/2020,14391-3,,,,Stanley Steemer
Stanley Steemer - El Paso,560543,4117 Kasper Way,,El Paso,TX,79904,,,,,72651,2,,,,,,0,110.4,7/27/2021,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - EL PASO BRANCH,560543 1020310,1601 N LEE TREVINO DR,"BUILDING O, APT 2103",EL PASO,TX,79936,,,,,66123,2,,,,,Ken Yanicky,96,110.4,9/26/2019,6/22/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FARMERS BRANCH,560543,13859 DIPLOMAT DRIVE,SUITE 100,FARMERS BRANCH,TX,75234,,,,,71538,2,,,,,,0,160,4/12/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FAYETTEVILLE BRANCH,560543 1053500,3169 NATAL ST,,FAYETTEVILLE,NC,28306,,,,,66100,2,,,,,Ken Yanicky,439.25,96,9/26/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FLATWOODS,560543 1003500,1210 LEXINGTON AVE,,FLATWOODS,KY,41139,,,,,66735,2,,,,,,583.25,342.1,10/31/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FLORENCE BRANCH,560543 1033850,8096 PRODUCTION DR,STE B,FLORENCE,KY,41042,,,,,66022,2,,,,,Ken Yanicky,1306.15,400.8,9/25/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FOREST,560543,106 HOMESTEAD DR,,FOREST,VA,24551,,,,,67797,2,,,,,,160,156,2/12/2020,6/22/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FORT COLLINS,560543,4555 HIGHLAND MEADOWS PKWY,UNIT C,WINDSOR,CO,80550,,,,,67807,2,,,,,,1182.45,935.35,2/12/2020,7/8/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FORT MYERS BRANCH,560543,2401 CRYSTAL DR,,FORT MYERS,FL,33907,,,,,66260,2,,,,,,576,511.8,10/21/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FREDERICKSBURG,560543 _x005F_x001F_1003900,10 COMMERCE PKWY,STE 105,FREDERICKSBURG,VA,22406,,,,,67031,2,,,,,,80,0,11/15/2019,6/15/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FT LAUDERDALE BRANCH,560543,241 BRYAN RD,,DANIA,FL,33004,,,,,66453,2,,,,,,1877.75,2376,10/31/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - FT WORTH BRANCH,560543 99050,4924 SUN VALLEY DR,,FORT WORTH,TX,76119,,,,,66360,2,,,,,,1422.5,675.75,10/16/2019,6/10/2021,14391-3,,,,Stanley Steemer
"STANLEY STEEMER - GAINSVILLE, VA",560543 99042,5611 WELLINGTON RD,STE 107,GAINESVILLE,VA,20155,,,,,66111,2,,,,,Ken Yanicky,2275.71,1344.5,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GAITHERSBURG BRANCH,560543 99078,425 E GUDE DR,,ROCKVILLE,MD,20850,,,,,66124,2,,,,,Ken Yanicky,2320,2704.96,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GOLDEN BRANCH,560543 99054,741 CORPORATE CIR,SUITE S,GOLDEN,CO,80401,,,,,66097,2,,,,,Ken Yanicky,974.5,1300.25,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GRAND JUNCTION,560543,277 1/2 WEST PARKVIEW DR,UNIT A,GRAND JUNCTION,CO,81503,,,,,67419,2,,,,,,0,0,12/27/2019,12/27/2019,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GRAYSLAKE BRANCH,560543 99065,200 S SHADDLE AVE,,MUNDELEIN,IL,60060,,,,,14893,3,,,,,,512,0,9/25/2019,10/9/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GREEN BAY BRANCH,560543-1075820,998 Glory Rd,Ste A,Green Bay,WI,54304,,,,,65997,2,,,,,Ken Yanicky,384,260.35,9/25/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GREENVILLE BRANCH,560543,1140 WHITEHORSE RD,,GREENVILLE,SC,29605,,,,,67987,2,,,,,,1680,1090.5,3/17/2020,6/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - GULF BREEZE,560543,3490 GULF BREEZE PKWY,,GULF BREEZE,FL,32563,,,,,68100,2,,,,,,197.8,308.8,4/14/2020,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - HAMPTON BRANCH,560543 99101,8 LOCKWOOD DR,SUITE A,HAMPTON,VA,23661,,,,,66336,2,,,,,,663.25,1011.6,10/16/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - HARTFORD BRANCH,560543 99037,230 MURPHY RD,,HARTFORD,CT,6114,,,,,66139,2,,,,,Ken Yanicky,1016.7,720.5,10/2/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - HOUSTON,560543,13225 FM 529 RD,STE M,HOUSTON,TX,77041,,,,,72584,2,,,,,,0,1610.7,7/8/2021,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - INDIANAPOLIS BRANCH,560543 99006,4145 W 99TH ST,,CARMEL,IN,46032,,,,,66113,2,,,,,Ken Yanicky,6826.1,3215.9,9/26/2019,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - INVERNESS,560543,911 EDEN DR,,INVERNESS,FL,34451,,,,,67858,2,,,,,,288,0,2/24/2020,12/4/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - JACKSONVILLE,560543 1018000,6115 ARLINGTON EXPY,,JACKSONVILLE,FL,32211,,,,,66243,2,,,,,Ken Yanicky,404.35,60.15,10/17/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - KNOXVILLE,560543 1050220,5617 TAZEWELL PIKE,,KNOXVILLE,TN,37918,,,,,66016,2,,,,,,2047.95,1074.65,9/25/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LAFAYETTE,560543 1054000,80 CREASY CT,,LAFAYETTE,IN,47905,,,,,66481,2,,,,,,133.8,208,10/31/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LAKELAND,560543,3920 ANCHUCA DR,,Lakeland,FL,33811,,,,,66110,2,,,,,Ken Yanicky,642.85,632,9/26/2019,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LAS VEGAS,560543,425 W GOWAN RD,,NORTH LAS VEGAS,NV,89032,,,,,67558,2,,,,,,1440,2688.5,1/10/2020,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LAWRENCE,560543 1007300,808 LYNN ST,,LAWRENCE,KS,66044,,,,,66480,2,,,,,,384,515.6,10/31/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LEESBURG,560543-1001210,1330 US HIGHWAY 82,,LEESBURG,GA,31763,,,,,66010,2,,,,,Ken Yanicky,926.5,761.8,9/27/2019,7/27/2021,14391-3,,,,Stanley Steemer
"STANLEY STEEMER - LEESBURG, FL",560543,3599 WEST MAIN ST,,LEESBURG,FL,34748,,,,,68138,2,,,,,,96,128.8,4/17/2020,6/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LENEXA,560543,14751 WEST 101ST TERR,,LENEXA,KS,66215,,,,,66841,2,,,,,,2916.25,2230.75,11/15/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LEXINGTON,560543,2456 FORTUNE DR,STE 140,LEXINGTON,KY,40509,,,,,66335,2,,,,,,1269.75,1863.25,10/16/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LOUISVILLE,560543-99025,4601 PROXIMITY DR,SUITE A,LOUISVILLE,KY,40213,,,,,66008,2,,,,,Ken Yanicky,4043.5,0,9/19/2019,10/9/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - LUTZ,56053,19936 STATE ROUTE 54,,LUTZ,FL,33558,,,,,71412,2,,,,,,0,1691,3/29/2021,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MACHESNEY PARK BRANCH,560543 1047100,9958 N ALPINE RD,STE 100,MACHESNEY,IL,61115,,,,,66269,2,,,,,,0,0,10/21/2019,10/21/2019,14391-3,,,,Stanley Steemer
Stanley Steemer - Madison Branch,560543-1042400,2834 Agriculture Dr,,Madison,WI,53718,,,,,66005,2,,,,,Ken Yanicky,1024,1019.2,9/27/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MANSFIELD BRANCH,560543,1231 PARK AVE E,,MANSFIELD,OH,44905,,,,,68260,2,,,,,,128,0,6/1/2020,6/22/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MARIETTA,,4855 WARREN CHAPEL RD,,MARIETTA,OH,45750,,,,,68350,2,,,,,,128,0,6/26/2020,9/4/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MARION BRANCH,560543,3496 W DELPHI PIKE,,MARION,IN,46952,,,,,71858,2,,,,,,0,32,5/30/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MARLBORO BRANCH,560543,401 CEDAR HILL STREET,SUITE#3,MARLBOROUGH,MA,1752,,,,,66921,2,,,,,Ken Yanicky,0,608,11/16/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MIAMI BRANCH,560543 99017,2180 NW 94TH AVE,,MIAMI,FL,33172,,,,,66276,2,,,,,,1911.25,1876.85,10/21/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MILFORD BRANCH,560543,1480 STRATFORD AVE,,STRATFORD,CT,6615,,,,,67971,2,,,,,,1949,1068,3/17/2020,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MILWAUKEE,560543 99022,11240 W LINCOLN AVE,,WEST ALLIS,WI,53227,,,,,66242,2,,,,,,4522.1,2600,10/16/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MINNEAPOLIS,560543,15900 W 79TH ST,,EDEN PRAIRIE,MN,55344,,,,,66374,2,,,,,,622.5,1052,10/31/2019,7/27/2021,14391-3,,,,Stanley Steemer
Stanley Steemer - Minneapolis Branch,560543-99090,15900 W 79th Street,,Eden Praire,MN,55344-1810,,,,,65995,2,,,,,Ken Yanicky,0,160,5/30/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - MONTGOMERY,560543 1033510,850 PLANTATION WAY,,MONTGOMERY,AL,36117,,,,,66499,2,,,,,Ken Yanicky,907.25,344,10/31/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NAPLES,560543,3519 PLOVER AVE,,NAPLES,FL,34117,,,,,67353,2,,,,,,1687.25,1007,12/23/2019,7/16/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NASHVILLE BRANCH,560543 1023530,5000 LINBAR DR,SUITE 230,NASHVILLE,TN,37211,,,,,66018,2,,,,,Ken Yanicky,0,0,9/25/2019,9/25/2019,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NEW YORK,560543,320 BOSTON POST RD,,PORT CHESTER,NY,10573,,,,,66479,2,,,,,,1159.2,1348.25,10/31/2019,6/22/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NEWBURGH BRANCH,560543,522 SOUTH STREET,,NEWBURGH,NY,12550,,,,,71881,2,,,,,,0,255.75,5/30/2021,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NORTH JERSEY BRANCH,560543 99079,10 CLIFTON BLVD,STE B-3,CLIFTON,NJ,7011,,,,,66167,2,,,,,Ken Yanicky,608,480,10/2/2019,5/30/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NORTH PHOENIX,560543 99059,23620 N 20TH DR,STE 22,PHOENIX,AZ,85085,,,,,66761,2,,,,,,0,1355.3,11/15/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - NORTH PORT,560543,2805 COMMERCE PKWY,,NORTH PORT,FL,34289,,,,,66691,2,,,,,,567.25,640.85,10/31/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - OCALA,560543,3101 N PINE AVE,,OCALA,FL,34475,,,,,66565,2,,,,,,436.35,55.2,11/1/2019,7/8/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - OKLAHOMA CITY BRANCH,560543 99030,3800 S MACARTHUR,SUITE D,OKLAHOMA CITY,OK,73179,,,,,66014,2,,,,,,2181.75,1768,9/25/2019,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - OMAHA,560543,8950 J ST,,OMAHA,NE,68127,,,,,68284,2,,,,,,384,128,6/15/2020,5/10/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - OREGON BRANCH,560543,301 GROVE RD,SUITE D,PHOENIX,OR,97535,,,,,70209,2,,,,,,144,0,11/13/2020,11/13/2020,14391-3,,,,Stanley Steemer
STANLEY STEEMER - OTTAWA BRANCH,560543,3854 E FISH N FUN RD,,MCNABB,IL,61335,,,,,67988,2,,,,,,336,66.9,3/17/2020,4/12/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PADUCAH,560543,6125 US HIGHWAY 45 S,,PADUCAH,KY,42001,,,,,66007,2,,,,,Ken Yanicky,686.5,518.7,9/19/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PALM DESERT,560543,77-556 EL DUNA COURTE,STE A,PALM DESERT,CA,92211,,,,,66166,2,,,,,Ken Yanicky,706.9,206.4,10/2/2019,7/8/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PASCO BRANCH,560543 1088400,19936 STATE ROUTE 54,,LUTZ,FL,33558,,,,,66428,2,,,,,,1968,480,10/31/2019,2/12/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PEORIA,560543-1033710,4040 SW ADAMS ST,,PEORIA,IL,61605,,,,,66006,2,,,,,Ken Yanicky,856.7,719.9,9/19/2019,6/22/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PERU,560543,8545 LOGANSPORT RD,,PERU,IN,46970,,,,,72535,2,,,,,,0,36.8,6/25/2021,6/25/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PHILLY MAIN 043,560543,761 5TH AVE,,KING OF PRUSSIA,PA,19406,,,,,66081,2,,,,,Ken Yanicky,2407.25,1650.1,9/26/2019,7/27/2021,14391-3,,,,Stanley Steemer
STANLEY STEEMER - PHILLY SOUTH,560543 1053440,7860 AIRPORT HIGHWAY,,PENNSAUKEN,NJ,8109,,,,,66920,2,,,,,Ken Yanicky,1504,1235.35,11/16/2019,7/8/2021,14391-3,,,,Stanley Steemer
